Id,Label,Gender
Aemon,Aemon,2
Grenn,Grenn,1
Samwell,Samwell,2
Aerys,Aerys,2
Jaime,Jaime,2
Robert,Robert,2
Tyrion,Tyrion,2
Tywin,Tywin,2
Alliser,Alliser,2
Mance,Mance,2
Amory,Amory,2
Oberyn,Oberyn,2
Arya,Arya,1
Anguy,Anguy,2
Beric,Beric,2
Bran,Bran,2
Brynden,Brynden,2
Cersei,Cersei,1
Gendry,Gendry,2
Gregor,Gregor,2
Joffrey,Joffrey,2
Jon,Jon,2
Rickon,Rickon,2
Roose,Roose,2
Sandor,Sandor,2
Thoros,Thoros,2
Balon,Balon,2
Loras,Loras,2
Belwas,Belwas,2
Barristan,Barristan,2
Illyrio,Illyrio,2
Hodor,Hodor,2
Jojen,Jojen,1
Luwin,Luwin,2
Meera,Meera,1
Nan,Nan,1
Theon,Theon,2
Brienne,Brienne,1
Bronn,Bronn,2
Podrick,Podrick,2
Lothar,Lothar,2
Walder,Walder,2
Catelyn,Catelyn,1
Edmure,Edmure,2
Hoster,Hoster,2
Jeyne,Jeyne,1
Lysa,Lysa,1
Petyr,Petyr,2
Robb,Robb,2
Roslin,Roslin,1
Sansa,Sansa,1
Stannis,Stannis,2
Elia,Elia,1
Ilyn,Ilyn,2
Meryn,Meryn,2
Pycelle,Pycelle,2
Shae,Shae,1
Varys,Varys,2
Craster,Craster,2
Karl,Karl,2
Daario,Daario,2
Drogo,Drogo,2
Irri,Irri,1
Daenerys,Daenerys,1
Aegon,Aegon,2
Jorah,Jorah,2
Kraznys,Kraznys,2
Missandei,Missandei,1
Rakharo,Rakharo,2
Rhaegar,Rhaegar,2
Viserys,Viserys,2
Worm,Worm,2
Davos,Davos,2
Cressen,Cressen,2
Salladhor,Salladhor,2
Eddard,Eddard,2
Eddison,Eddison,2
Gilly,Gilly,1
Qyburn,Qyburn,2
Renly,Renly,2
Tommen,Tommen,2
Janos,Janos,2
Bowen,Bowen,2
Kevan,Kevan,2
Margaery,Margaery,1
Myrcella,Myrcella,1
Dalla,Dalla,1
Melisandre,Melisandre,1
Orell,Orell,2
Qhorin,Qhorin,2
Rattleshirt,Rattleshirt,2
Styr,Styr,2
Val,Val,1
Ygritte,Ygritte,1
Jon Arryn,Jon Arryn,2
Lancel,Lancel,2
Olenna,Olenna,1
Marillion,Marillion,1
Robert Arryn,Robert Arryn,2
Ellaria,Ellaria,1
Mace,Mace,2
Rickard,Rickard,2
Ramsay,Ramsay,2
Chataya,Chataya,1
Shireen,Shireen,1
Doran,Doran,2
Walton,Walton,2
